no,group,speaker,original,pron,trans,comment
1,1,,"zéro","제호","0","기본 숫자"
2,1,,"un / une","앙 / 윈","1","남성명사 un / 여성명사 une"
3,1,,"deux","두","2",""
4,1,,"trois","트후아","3",""
5,1,,"quatre","까뜨흐","4",""
6,1,,"cinq","쌍끄","5",""
7,1,,"six","씨스","6",""
8,1,,"sept","세뜨","7",""
9,1,,"huit","위뜨","8",""
10,1,,"neuf","느프","9",""
11,1,,"dix","딕스","10",""
12,1,,"onze","온즈","11",""
13,1,,"douze","두즈","12",""
14,1,,"treize","트헤즈","13",""
15,1,,"quatorze","까또흐즈","14",""
16,1,,"quinze","깡즈","15",""
17,1,,"seize","세즈","16",""
18,1,,"dix-sept","딕쎄뜨","17",""
19,1,,"dix-huit","디즈윗","18",""
20,1,,"dix-neuf","디즈느프","19",""
21,1,,"vingt","뱅","20",""
