no,group,speaker,original,pron,trans,comment
1,1,,vingt et un,뱅떼앙,21,
2,1,,vingt-deux,뱅두,22,
3,1,,trente,뜨헝뜨,30,
4,1,,trente et un,뜨헝떼앙,31,
5,1,,quarante,까헝뜨,40,
6,1,,quarante-deux,까헝뜨두,42,
7,1,,cinquante,쌍꽁뜨,50,
8,1,,cinquante-cinq,쌍꽁뜨쌍끄,55,
9,1,,soixante,스와쌍뜨,60,
10,1,,soixante-dix,스와쌍뜨딕스,70,60+10
11,1,,soixante et onze,스와쌍떼온즈,71,
12,1,,soixante-douze,스와쌍뜨두즈,72,
13,1,,quatre-vingts,까뜨흐뱅,80,4×20 구조
14,1,,quatre-vingt-un,까뜨흐뱅앵,81,
15,1,,quatre-vingt-dix,까뜨흐뱅딕스,90,4×20+10
16,1,,quatre-vingt-dix-neuf,까뜨흐뱅디즈느프,99,
17,1,,cent,썽,100,
18,1,,deux cents,두썽,200,
19,1,,mille,밀,1000,
20,1,,dix mille,딕밀,"10,000",
21,1,,cent mille,썽밀,"100,000",
22,1,,un million,앙 밀리옹,"1,000,000",
23,1,,un milliard,앙 밀리아흐,"1,000,000,000",
