no,group,speaker,original,pron,trans,comment
1,8,word,hier,[jɛʁ / 이예흐],어제,[j]
2,8,word,crayon,[kʁɛjɔ̃ / 크헤용],연필,[j]
3,8,word,rail,[ʁaj / 하이],철로,[j]
4,8,word,fille,[fij / 피유],소녀,[j]
5,8,word,chien,[ʃjɛ̃ / 시앙],개,[j]
6,8,word,ciel,[sjɛl / 씨엘],하늘,[j]
7,8,word,pied,[pje / 피에],발,[j]
8,8,word,yeux,[jø / 이외],눈(복수),[j]
9,8,word,feuille,[fœj / 퍼이],잎,[j]
10,8,word,œil,[œj / 외이],눈,[j]
11,8,word,abeille,[abɛj / 아베이],벌,[j]
12,8,word,travail,[tʁavaj / 트하바이],일,[j]
13,8,word,oui,[wi / 위],네,[w]
14,8,word,soi,[swa / 스와],자기 자신,[wa]
15,8,word,soir,[swaʁ / 스와흐],저녁,[wa]
16,8,word,loin,[lwɛ̃ / 루앵],멀리,[wɛ̃]
17,8,word,ouest,[wɛst / 우에스트],서쪽,[w]
18,8,word,moi,[mwa / 므와],나,[wa]
19,8,word,roi,[ʁwa / 후아],왕,[wa]
20,8,word,soir,[swaʁ / 스와흐],저녁,[wa]
21,8,word,courtois,[kuʁtwa / 쿠흐트와],예의 바른,[wa]
22,8,word,pourboire,[puʁbwaʁ / 푸흐부아흐],팁,[waʁ]
23,8,word,pourquoi,[puʁkwa / 푸흐쿠아],왜,[wa]
24,8,word,besoin,[bəzwɛ̃ / 브주앵],필요,[wɛ̃]
25,8,word,lui,[lɥi / 뤼이],그에게,[ɥi]
26,8,word,huître,[ɥitʁ / 위트흐],굴,[ɥi]
27,8,word,huile,[ɥil / 윌],기름,[ɥi]
28,8,word,huître,[ɥitʁ / 위트흐],굴,[ɥi]
29,8,word,huit,[ɥit / 윗],8,[ɥi]
30,8,word,huitième,[ɥitjɛm / 위티엠],8번째,[ɥi]
31,8,word,lui,[lɥi / 뤼이],그에게,[ɥi]
32,8,word,juin,[ʒɥɛ̃ / 쥐앵],6월,[ɥɛ̃]
33,8,word,duo,[dyo / 듀오],듀오,[y]
34,8,word,muet,[mɥɛ / 뮈에],묵음의,[ɥɛ]
