no,group,speaker,original,pron,trans,comment
1,12,word,santé,썽떼,건강/건배할 때도 사용,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
2,12,word,aussi,오씨,또한,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
3,12,word,place,쁠라쓰,장소/좌석/공간/광장,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
4,12,word,cinéma,씨네마,영화(관),"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
5,12,word,cycle,씨끌,순환/주기/학사과정,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
6,12,word,scène,쌘ㄴ,무대/장면/광경,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
7,12,word,science,씨영쓰,과학/기술/학문,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
8,12,word,nation,나씨용,국민/민족/국가,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
9,12,word,six,씨쓰,6,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
10,12,word,si,씨,만약,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
11,12,word,cidre,씨드흐,사과주,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
12,12,word,sceau,쏘,봉인/인감/관인,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
13,12,word,dix,디쓰,10,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
14,12,word,leçon,르쏭,수업/강의,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
15,12,word,assez,아쎄,충분히,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
16,12,word,bicyce,비씨끌르,자전거,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
17,12,word,piscine,삐씬느,수영장,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
18,12,word,commerçant,꼬매흐썽,상인,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
19,12,word,initial,이니씨얄,원래의/초기의,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
20,12,word,essentiel,에썽씨얠,기본적인/필수적인,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
21,12,word,difficile,디피씰,어려운,"[s]치음/마찰음/무성음 성대진동이 없고, 윗니 뒷부분에서 마찰되는 음성"
22,12,word,zéro,제호,0,[z] 치음/마찰음/유성음 영어의 z발음과 유사
23,12,word,rose,호~즈,장미,[z] 치음/마찰음/유성음 영어의 z발음과 유사
24,12,word,six ans,씨정,6세,[z] 치음/마찰음/유성음 영어의 z발음과 유사
25,12,word,zone,존,구역,[z] 치음/마찰음/유성음 영어의 z발음과 유사
26,12,word,treize,트해즈,13,[z] 치음/마찰음/유성음 영어의 z발음과 유사
27,12,word,vase,바즈,단지/항아리/꽃병,[z] 치음/마찰음/유성음 영어의 z발음과 유사
