no,group,speaker,original,pron,trans,comment
1,7,word,France,[fʁɑ̃s / 프헝쓰],프랑스,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
2,7,word,dans,[dɑ̃ / 덩],~안에,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
3,7,word,jambe,[ʒɑ̃b / 졍브],다리,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
4,7,word,chambre,[ʃɑ̃bʁ / 셩브흐],방,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
5,7,word,dent,[dɑ̃ / 덩],이빨,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
6,7,word,enfant,[ɑ̃fɑ̃ / 엉펑],아이,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
7,7,word,temps,[tɑ̃ / 떵],시간,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
8,7,word,ensemble,[ɑ̃sɑ̃bl / 엉썽블],함께,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
9,7,word,banc,[bɑ̃ / 벙],벤치,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
10,7,word,sans,[sɑ̃ / 썽],없이,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
11,7,word,lent,[lɑ̃ / 렁],느린,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
12,7,word,vent,[vɑ̃ / 벙],바람,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
13,7,word,chance,[ʃɑ̃s / 셩쓰],행운,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
14,7,word,danse,[dɑ̃s / 덩쓰],춤,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
15,7,word,menthe,[mɑ̃t / 멍뜨],민트,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
16,7,word,lampe,[lɑ̃p / 렁쁘],램프,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
17,7,word,méchant,[meʃɑ̃ / 메쎵],못된,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
18,7,word,courant,[kuʁɑ̃ / 꾸헝],전류/흐름,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
19,7,word,prudent,[pʁydɑ̃ / 프휘덩],신중한,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
20,7,word,printemps,[pʁɛ̃tɑ̃ / 프항떵],봄,[ɑ̃] 후설모음/개모음/원순모음/비모음 우리말 [엉]
21,7,word,non,[nɔ̃ / 농],아니,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
22,7,word,rond,[ʁɔ̃ / 홍],둥근,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
23,7,word,profession,[pʁɔfɛsjɔ̃ / 쁘호패씨옹],직업,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
24,7,word,nom,[nɔ̃ / 농],이름,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
25,7,word,prénom,[pʁenɔ̃ / 쁘헤농],이름(퍼스트네임),[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
26,7,word,bombe,[bɔ̃b / 봉브],폭탄,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
27,7,word,bon,[bɔ̃ / 봉],좋은,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
28,7,word,long,[lɔ̃ / 롱],긴,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
29,7,word,pont,[pɔ̃ / 뽕],다리(bridge),[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
30,7,word,son,[sɔ̃ / 쏭],그의/그녀의,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
31,7,word,conte,[kɔ̃t / 꽁뜨],이야기,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
32,7,word,donc,[dɔ̃k / 동끄],그러므로,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
33,7,word,ombre,[ɔ̃bʁ / 옹브흐],그림자,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
34,7,word,nombre,[nɔ̃bʁ / 농브흐],숫자,[ɔ̃] 후설모음/반개모음/원순모음/비모음 우리말 [옹]
