no,group,speaker,original,pron,trans,comment
1,10,word,beau,[bo / 보],아름다운,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
2,10,word,bol,[bɔl / 볼],그릇,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
3,10,word,abbé,[abe / 아베],수도원장,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
4,10,word,veau,[vo / 보],송아지 고기,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
5,10,word,vol,[vɔl / 볼],비행/도둑질,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
6,10,word,wagon,[vaɡɔ̃ / 바공],기차 객차,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
7,10,expression,neuf ans,[nœv ɑ̃ / 놰벙],9세,[v liaison] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
8,10,word,bas,[ba / 바],낮은,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
9,10,word,beau,[bo / 보],아름다운,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
10,10,word,bon,[bɔ̃ / 봉],좋은,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
11,10,word,belle,[bɛl / 밸르],아름다운(여성형),[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
12,10,word,va,[va / 바],가다,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
13,10,word,veau,[vo / 보],송아지 고기,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
14,10,word,vie,[vi / 비],삶,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
15,10,word,vent,[vɑ̃ / 벙],바람,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
16,10,word,sabot,[sabo / 싸보],나막신,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
17,10,word,début,[deby / 데뷔],시작,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
18,10,word,debout,[dəbu / 드부],서 있는,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
19,10,word,robot,[ʁɔbɔ / 호보],로봇,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
20,10,word,laver,[lave / 라베],씻다,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
21,10,word,savon,[savɔ̃ / 싸봉],비누,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
22,10,word,hiver,[ivɛʁ / 이배흐],겨울,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
23,10,word,mauvais,[movɛ / 모배],나쁜,[v] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
24,10,word,club,[klœb / 끌뢔브/끌러브],클럽,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
25,10,word,snob,[snɔb / 스노브],속물,[b] 두 개의 입술로 내는 소리. 양순/폐쇄/유성자음
26,10,expression,neuf ans,[nœv ɑ̃ / 놰벙/느벙],9세,[v liaison] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
27,10,expression,neuf heures,[nœv œʁ / 놰봬흐/느버흐],9시,[v liaison] 입술과 앞니를 대면서 내는 소리. 순치/마찰/유성자음
28,10,word,peau,[po / 뽀],피부,[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
29,10,word,paix,[pɛ / 빼],평화,[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
30,10,word,appel,[apɛl / 아뺄],전화/부름,[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
31,10,word,faux,[fo / 포],거짓의,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
32,10,word,fait,[fɛ / 패],사실,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
33,10,word,difficile,[difisil / 디피씰],어려운,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
34,10,word,photo,[foto / 포또],사진,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
35,10,word,prix,[pʁi / 프히],가격,[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
36,10,word,Pierre,[pjɛʁ / 삐얘흐],돌,[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
37,10,word,pont,[pɔ̃ / 뽕],다리(bridge),[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
38,10,word,fou,[fu / 푸],미친,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
39,10,word,fait,[fɛ / 패],사실,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
40,10,word,fleur,[flœʁ / 플뢔흐/플러흐],꽃,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
41,10,word,font,[fɔ̃ / 퐁],하다(3인칭 복수),[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
42,10,word,épaule,[epol / 에 뽈],어깨,[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
43,10,word,tapis,[tapi / 타삐],카펫,[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
44,10,word,appeler,[apəle / 아쁠레],부르다,[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
45,10,word,apprendre,[apʁɑ̃dʁ / 아 프헝드흐],배우다,[p] 두 개의 입술로 내는 소리. 양순/폐쇄/무성자음
46,10,word,café,[kafe / 꺄페],커피,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
47,10,word,affaire,[afɛʁ / 아패흐],일/사건,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
48,10,word,enfant,[ɑ̃fɑ̃ / 엉펑],아이,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
49,10,word,Sophie,[sɔfi / 쏘피],소피,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
50,10,word,sept,[sɛt / 쌔뜨],7,p 묵음
51,10,word,baptême,[batɛm / 바땜므],세례,p 묵음
52,10,word,vif,[vif / 비프],활발한,[f] 입술과 앞니를 대면서 내는 소리. 순치/마찰/무성자음
