no,group,speaker,original,pron,trans,comment
1,13,word,chat,[ʃa /샤],고양이,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
2,13,word,champignon,[ʃɑ̃piɲɔ̃ /셩삐응뇽],버섯,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
3,13,word,cheveu,[ʃəvø /슈뵈/쓔브으],머리카락 cheveux(복수형),[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
4,13,word,schéma,[ʃema /쉐마],도식/도표/개요,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
5,13,word,shopping,[ʃɔpiŋ /쇼삥ㄱ],쇼핑,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
6,13,word,fascisme,[faʃism /파쉬씀ㅁ],파시즘 독재적 전체주의,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
7,13,word,cher,[ʃɛʁ /쓔애ㅎ],소중한 =dear(영어),[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
8,13,word,chou,[ʃu /슈],양배추,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
9,13,word,riche,[ʁiʃ /ㅎ이쉬],부유한,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
10,13,word,champ,[ʃɑ̃ /셩],들판/밭,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
11,13,word,achat,[aʃa /아샤],구매,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
12,13,word,cacher,[kaʃe /꺄쉐],감추다/숨기다,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
13,13,word,rocher,[ʁɔʃe /ㅎ오쉐],바위/암벽,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
14,13,word,marcher,[maʁʃe /마흐 쉐],걷다,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
15,13,sentence,ces chaussettes sous la chaise sont sans chaussures.,[se ʃosɛt su la ʃɛz sɔ̃ sɑ̃ ʃosyʁ /쎄쇼셋 쑤라쉐즈 쏭썽 쇼 쒸흐],이 의자 아래 양말들은 신발이 없다,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
16,13,sentence,un chasseur sachant chasser doit savoir chasser sans son chien.,[œ̃ ʃasœʁ saʃɑ̃ ʃase dwa savwaʁ ʃase sɑ̃ sɔ̃ ʃjɛ̃ /앙 샤쓰엏 싸셩 샤쎄 드와싸부앟 샤세 썽쏭 쉬이양],사냥을 할 줄 아는 사냥꾼은 개 없이도 사냥할 줄 알아야 한다,[ʃ] 경구개음/마찰음/무성음 우리말 '슈'와 유사
17,13,word,gens,[ʒɑ̃ /졍],사람들,[ʒ] 경구개음(앞쪽에서 발음)/마찰음/유성음 '슈'에 성대를 울려서 발음
18,13,word,girafe,[ʒiʁaf /쥐이핲],기린,[ʒ] 경구개음(앞쪽에서 발음)/마찰음/유성음 '슈'에 성대를 울려서 발음
19,13,word,jeunesse,[ʒœnɛs /쥬어내쓰],청춘,[ʒ] 경구개음(앞쪽에서 발음)/마찰음/유성음 '슈'에 성대를 울려서 발음
