no,group,speaker,original,pron,trans,comment
1,basic,0,arrêt,아ㅎ에,시작,
2,basic,0,attaque,아따끄,공격,우선권을 가진 최초 공격
3,tactics,0,contre-attaque,콩트흐 아따끄,역공격. 막지 않고 들어가는 반격,상대가 공격 우선권을 가진 상태에서 parade 없이 공격
4,attack,0,fente,펑트,런지자세로 공격,기본 찌르기
5,stance,0,garde,갸흐드,준비 자세,기본 자세
6,footwork,0,marche,마흐슈,전진,앞으로 스텝
7,defence,0,parade,빠하드,방어,칼로 막기. 패리
8,field,0,piste,삐스트,경기장,펜싱 스트립
9,defence,0,positions,뽀지시옹,자세/번호,파리 체계
10,etiquette,0,salut,살뤼,/인사,경기 예절
11,rules,0,toucher,뚜셰,맞히다/터치,득점 행위
12,stance,0,en garde,앙갸ㅎ드,준비,심판 구령
13,weapon,0,fleuret,플ㄹ으헤,플뢰레,플뢰레 종목
14,etiquette,0,prêt ? / allez !,프헤 알레,시작 구령,경기 시작
15,footwork,0,Rompez,롱뻬,뒤로 물러나라,심판 구령
16,defence,0,Parade-Riposte,빠라드 리포스트,막고 바로 찌르기,패리 후 반격[프랑스식 표현]
17,etiquette,0,attention,어텐션,차려,
18,attack,0,allonzes le bras,알롱제르 브라,팔 뻗는 동작,
19,etiquette,0,Etes-vous pret?,에뜨 부 프렛,준비됐나요?,
20,etiquette,0,oui,위,예,
21,etiquette,0,halte,알트,정지,
